place	time	pace	age	gender	location	state	divPlace	divTot
7371	108.28	10.828	18	F	Fairfax VA	VA	66	83
6571	110.08	11.008	44	M	Upper Marlboro MD	MD	854	931
5903	101.87	10.187	27	F	Durham NC	NC	1798	2782
8990	120.68	12.068	46	F	Burke VA	VA	499	554
130	68.55	6.855	33	F	Washington DC	DC	35	2228
4809	97.83	9.783	31	F	Chantilly VA	VA	1070	2228
6737	113.65	11.365	41	M	Herndon VA	VA	880	931
5480	98.4	9.84	26	M	Bethesda MD	MD	1157	1457
5558	100.6	10.06	30	F	Ashburn VA	VA	1236	2228
3414	86.53	8.653	65	M	Burke VA	VA	16	79
4782	97.73	9.773	31	F	Atlanta GA	GA	1065	2228
2049	78.9	7.89	62	M	West Chester PA	PA	26	196
4134	90.25	9.025	38	M	New York NY	NY	642	1093
2413	81	8.1	36	M	Washington DC	DC	351	1093
4034	89.7	8.97	37	M	Boyds MD	MD	625	1093
993	71.93	7.193	27	M	Arlington VA	VA	238	1457
3619	93.87	9.387	26	F	Durham NC	NC	1113	2782
7557	109.3	10.93	25	F	Kennesaw GA	GA	2281	2782
5918	101.95	10.195	57	F	Arlington VA	VA	102	236
6226	103.22	10.322	40	F	Reston VA	VA	593	974
470	75.93	7.593	33	F	Centreville VA	VA	103	2228
6901	118.18	11.818	30	M	Fairfax VA	VA	1434	1490
6452	104.1	10.41	35	F	Ashburn VA	VA	870	1367
2987	91.43	9.143	32	F	Philadelphia PA	PA	652	2228
3824	94.58	9.458	57	F	Dumfries VA	VA	59	236
5942	102.37	10.237	30	M	Bethesda MD	MD	1265	1490
4547	92.52	9.252	36	M	Silver Spring MD	MD	701	1093
9506	131.33	13.133	55	F	Woodbridge VA	VA	229	236
3464	93.32	9.332	27	F	Arlington VA	VA	1081	2782
9711	145.67	14.567	33	F	Herndon VA	VA	2223	2228
2176	79.57	7.957	28	M	Washington DC	DC	521	1457
849	79.83	7.983	32	F	Bethesda MD	MD	194	2228
8348	114.67	11.467	45	F	Sykesville MD	MD	466	554
2877	90.98	9.098	43	F	Arlington VA	VA	273	974
9222	124.37	12.437	31	F	Washington DC	DC	2091	2228
5112	98.93	9.893	29	F	Washington DC	DC	1580	2782
5998	102.9	10.29	57	M	Woodbridge VA	VA	297	375
62	64.77	6.477	43	F	Arlington VA	VA	4	974
2492	81.58	8.158	46	M	New York NY	NY	220	648
220	62.32	6.232	40	M	Milwaukee WI	WI	19	931
4836	97.92	9.792	40	F	Wall NJ	NJ	456	974
1735	77.2	7.72	60	M	Woodside CA	CA	20	196
309	73.48	7.348	26	F	Arlington VA	VA	111	2782
3565	93.72	9.372	44	F	Woodbridge VA	VA	334	974
9475	130.42	13.042	32	F	Edgewater MD	MD	2160	2228
1136	82.17	8.217	29	F	Reston VA	VA	366	2782
947	80.63	8.063	51	F	Washington DC	DC	29	397
2915	83.98	8.398	34	M	Silver Spring MD	MD	645	1490
5489	100.32	10.032	50	F	Centreville VA	VA	175	397
433	75.47	7.547	24	F	Washington DC	DC	62	974
1395	84.05	8.405	43	F	Vienna VA	VA	135	974
3487	86.9	8.69	29	M	Baltimore MD	MD	776	1457
3841	88.67	8.867	42	M	Burke VA	VA	485	931
2813	90.7	9.07	25	F	Pittsburgh PA	PA	887	2782
2463	89.18	8.918	30	F	Alexandria VA	VA	547	2228
1295	74.33	7.433	57	M	Herndon VA	VA	47	375
597	68.07	6.807	25	M	Washington DC	DC	154	1457
3602	93.8	9.38	38	F	Fort Worth TX	TX	488	1367
8400	115.1	11.51	31	F	McLean VA	VA	1902	2228
2850	90.87	9.087	27	F	Arlington VA	VA	898	2782
2225	88.15	8.815	48	F	Mullicahills NJ	NJ	111	554
1639	85.47	8.547	30	F	Arlington VA	VA	364	2228
9344	127.2	12.72	30	F	Arlington VA	VA	2125	2228
1329	83.55	8.355	23	F	North Bethesda MD	MD	174	974
4268	96.07	9.607	26	F	Washington DC	DC	1313	2782
2904	91.08	9.108	30	F	Washington DC	DC	633	2228
4009	89.53	8.953	29	M	Washington DC	DC	879	1457
4333	91.38	9.138	55	M	Exeter NH	NH	189	375
5046	98.67	9.867	32	F	Arlington VA	VA	1120	2228
402	75.02	7.502	38	F	Manassas VA	VA	51	1367
2939	84.25	8.425	58	M	Berwyn PA	PA	117	375
5336	99.78	9.978	31	F	Arlington VA	VA	1192	2228
1762	77.37	7.737	53	M	Reston VA	VA	100	483
7311	107.95	10.795	29	F	New York NY	NY	2214	2782
3119	91.93	9.193	36	F	Chantilly VA	VA	410	1367
2154	87.88	8.788	28	F	Alexandria VA	VA	683	2782
5515	98.68	9.868	33	M	Wasington DC	DC	1178	1490
408	75.1	7.51	50	F	Arlington VA	VA	11	397
1201	82.63	8.263	26	F	Washington DC	DC	389	2782
3033	84.65	8.465	27	M	Arlington VA	VA	684	1457
1689	85.7	8.57	23	F	Washington DC	DC	222	974
1263	74.07	7.407	35	M	Fairfax VA	VA	190	1093
4657	93.2	9.32	32	M	Gaithersburg MD	MD	997	1490
3566	87.28	8.728	41	M	Madison WI	WI	460	931
4775	93.93	9.393	40	M	Alexandria VA	VA	628	931
7813	110.92	11.092	32	F	Arlington VA	VA	1758	2228
288	73.3	7.33	56	F	Potomac MD	MD	5	236
5882	101.8	10.18	41	F	Washington DC	DC	566	974
7568	109.43	10.943	44	F	Silver Spring MD	MD	736	974
6924	118.85	11.885	29	M	Washington DC	DC	1421	1457
1070	72.57	7.257	43	M	Kensington MD	MD	115	931
5622	99.63	9.963	53	M	Vienna VA	VA	370	483
4935	98.28	9.828	30	F	Hardwick MA	MA	1105	2228
5657	99.92	9.992	36	M	Great Falls VA	VA	866	1093
3370	92.98	9.298	32	F	Washington DC	DC	726	2228
6891	106.02	10.602	22	F	Washington DC	DC	769	974
7150	107.3	10.73	25	F	Washington DC	DC	2177	2782
6556	109.8	10.98	45	M	Gainesville VA	VA	587	648
6374	107.33	10.733	66	M	Silver Spring MD	MD	53	79
7806	110.88	11.088	37	F	Alexandria VA	VA	1062	1367
3600	93.8	9.38	40	F	Silver Spring MD	MD	338	974
5219	99.33	9.933	27	F	Arlington VA	VA	1615	2782
2945	91.23	9.123	33	F	Ashburn VA	VA	644	2228
7931	111.75	11.175	33	F	Washington DC	DC	1780	2228
4919	94.82	9.482	62	M	Gaithersburg MD	MD	96	196
3203	85.45	8.545	44	M	Bethesda MD	MD	416	931
7649	109.93	10.993	53	F	Voorhees NJ	NJ	299	397
1235	82.87	8.287	36	F	Crofton MD	MD	152	1367
7490	108.93	10.893	20	F	Washington DC	DC	815	974
3167	85.27	8.527	30	M	Bethesda MD	MD	703	1490
5498	100.35	10.035	36	F	Oakton VA	VA	738	1367
4934	98.28	9.828	30	F	Washington DC	DC	1104	2228
8603	116.72	11.672	28	F	Santa Rosa CA	CA	2537	2782
1973	87.17	8.717	29	F	Washington DC	DC	631	2782
4719	97.53	9.753	29	F	Washington DC	DC	1470	2782
6508	109.12	10.912	47	M	Alexandria VA	VA	583	648
1688	76.85	7.685	36	M	Washington DC	DC	243	1093
8323	114.48	11.448	23	F	Washington DC	DC	887	974
4739	93.73	9.373	36	M	Bloomington IN	IN	736	1093
2688	90.18	9.018	31	F	Washington DC	DC	597	2228
1847	77.8	7.78	24	M	Washington DC	DC	112	347
6868	105.93	10.593	37	F	Fairfax VA	VA	930	1367
5319	97.33	9.733	30	M	Germantown MD	MD	1139	1490
5902	101.87	10.187	26	F	Arlington VA	VA	1797	2782
4474	92.17	9.217	48	M	Takoma Park MD	MD	392	648
3657	87.73	8.773	30	M	Washington DC	DC	807	1490
1450	84.37	8.437	27	F	Gastonia NC	NC	466	2782
4498	92.3	9.23	37	M	Rockville MD	MD	691	1093
3030	84.65	8.465	35	M	Springfield VA	VA	456	1093
1479	84.52	8.452	25	F	Washington DC	DC	476	2782
2217	88.12	8.812	34	F	Arlington VA	VA	492	2228
2160	79.45	7.945	66	M	Columbia MD	MD	7	79
4286	91.07	9.107	55	M	Chesapeake VA	VA	185	375
9651	138.32	13.832	27	F	Akron OH	OH	2771	2782
8878	119.43	11.943	45	F	Baltimore MD	MD	492	554
1674	76.77	7.677	26	M	Betheda MD	MD	404	1457
5563	100.6	10.06	26	F	Bethesda MD	MD	1716	2782
8650	117.17	11.717	32	F	Baltimore MD	MD	1957	2228
6488	104.25	10.425	38	F	Kensington MD	MD	875	1367
5152	96.28	9.628	50	M	Durham NC	NC	342	483
3662	93.98	9.398	50	F	Phoenixville PA	PA	119	397
8736	117.85	11.785	35	F	Alexandria VA	VA	1207	1367
8742	117.9	11.79	28	F	Alexandria VA	VA	2570	2782
5680	100.08	10.008	57	M	Bonfield IL	IL	271	375
4385	91.7	9.17	39	M	Quincy MA	MA	680	1093
2764	83.15	8.315	33	M	Falls Church VA	VA	614	1490
5381	97.72	9.772	32	M	New York NY	NY	1152	1490
1328	83.53	8.353	26	F	Long Beach NY	NY	431	2782
8239	114.02	11.402	37	F	Washington DC	DC	1131	1367
1341	83.63	8.363	41	F	Washington DC	DC	130	974
4302	91.18	9.118	24	M	Washington DC	DC	221	347
776	69.92	6.992	45	M	Alexandria VA	VA	60	648
6977	120.42	12.042	32	M	Alexandria VA	VA	1448	1490
7066	106.88	10.688	28	F	Washington DC	DC	2152	2782
5797	100.93	10.093	32	M	Arlington VA	VA	1237	1490
2195	79.67	7.967	38	M	Springfield VA	VA	320	1093
6251	105.75	10.575	44	M	Arlington VA	VA	812	931
3348	92.87	9.287	41	F	Reston VA	VA	313	974
6511	109.15	10.915	40	M	Sterling VA	VA	849	931
4318	96.2	9.62	28	F	Lake Village MN	MN	1332	2782
4313	96.2	9.62	35	F	Jamaica Plain MA	MA	576	1367
2068	87.57	8.757	26	F	Wilmington DE	DE	664	2782
7169	138.4	13.84	39	M	Waldorf MD	MD	1090	1093
362	74.48	7.448	28	F	Arlington VA	VA	125	2782
5113	96.02	9.602	38	M	Glen Burnie MD	MD	791	1093
2457	89.15	8.915	29	F	Washington DC	DC	775	2782
7995	112.2	11.22	38	F	Raleigh NC	NC	1090	1367
2379	80.83	8.083	31	M	Fairfax VA	VA	518	1490
6923	118.83	11.883	56	M	Reston VA	VA	351	375
3519	87.03	8.703	41	M	Alexandria VA	VA	450	931
7151	134.78	13.478	30	M	Brooklyn NY	NY	1484	1490
2213	79.82	7.982	31	M	Washington DC	DC	482	1490
481	76	7.6	32	F	Washington DC	DC	110	2228
8532	116	11.6	31	F	Washington DC	DC	1935	2228
5514	100.45	10.045	31	F	Washington DC	DC	1224	2228
8363	114.78	11.478	42	F	Highland MD	MD	821	974
656	78.03	7.803	29	F	Baltimore MD	MD	221	2782
2871	90.93	9.093	21	F	Frederick MD	MD	364	974
893	80.28	8.028	29	F	Washington DC	DC	290	2782
1814	77.63	7.763	52	M	Oakton VA	VA	106	483
9679	140.08	14.008	37	F	Richmond VA	VA	1355	1367
1117	82.05	8.205	32	F	Fairfax Station VA	VA	245	2228
6215	105.23	10.523	34	M	Washington DC	DC	1314	1490
8385	115.03	11.503	25	F	Bristow VA	VA	2477	2782
1540	84.92	8.492	28	F	Washington DC	DC	495	2782
5285	97.13	9.713	28	M	Washington DC	DC	1124	1457
4632	93.03	9.303	34	M	Falls Church VA	VA	990	1490
5930	101.98	10.198	28	F	Gaithersburg MD	MD	1812	2782
4512	96.95	9.695	25	F	Germantown MD	MD	1395	2782
2750	83.07	8.307	15	M	Glen Echo MD	MD	36	66
1074	72.6	7.26	35	M	Arlington VA	VA	157	1093
5380	99.93	9.993	35	F	Fredericksburg VA	VA	723	1367
3142	92.03	9.203	26	F	Cape May NJ	NJ	989	2782
2825	83.5	8.35	35	M	Laurel MD	MD	417	1093
1037	72.28	7.228	41	M	Greenbelt MD	MD	108	931
1816	77.65	7.765	50	M	Westminster MD	MD	107	483
6357	107.13	10.713	30	M	Philadelphia PA	PA	1336	1490
2820	83.45	8.345	39	M	Arlington VA	VA	415	1093
4973	95.08	9.508	26	M	Arlington VA	VA	1070	1457
3201	85.45	8.545	27	M	Derwood MD	MD	714	1457
4282	91.05	9.105	32	M	Linthicum Heights MD	MD	925	1490
3017	84.58	8.458	23	M	Washington DC	DC	166	347
754	79.08	7.908	47	F	Ellicott City MD	MD	38	554
5637	100.87	10.087	33	F	Columbia MD	MD	1253	2228
463	66.5	6.65	40	M	Washington DC	DC	41	931
1585	85.17	8.517	59	F	Silver Spring MD	MD	15	236
7459	108.77	10.877	25	F	Washington DC	DC	2255	2782
6209	105.18	10.518	60	M	Columbia MD	MD	147	196
799	70.17	7.017	41	M	Fort Washington MD	MD	84	931
2307	80.33	8.033	41	M	Washington DC	DC	292	931
5349	97.5	9.75	32	M	Centreville VA	VA	1147	1490
2576	82.05	8.205	52	M	White Hall MD	MD	159	483
2200	79.72	7.972	26	M	Arlington VA	VA	526	1457
3682	87.83	8.783	30	M	Charlotte NC	NC	812	1490
3766	88.25	8.825	32	M	Hyattsville MD	MD	832	1490
2186	79.65	7.965	38	M	Cockeysville MD	MD	317	1093
9134	122.87	12.287	28	F	Fairfax VA	VA	2661	2782
5439	98.08	9.808	33	M	Washington DC	DC	1167	1490
1239	82.87	8.287	31	F	Falls Church VA	VA	275	2228
4140	95.72	9.572	54	F	Fairport NY	NY	135	397
1649	76.62	7.662	39	M	Glen Echo MD	MD	238	1093
1977	78.45	7.845	37	M	Arlington VA	VA	290	1093
839	70.53	7.053	26	M	Falls Church VA	VA	206	1457
8257	114.08	11.408	42	F	Washington DC	DC	812	974
4008	95.22	9.522	39	F	Washington DC	DC	537	1367
1577	76.13	7.613	41	M	Annville PA	PA	188	931
996	81.17	8.117	32	F	Washington DC	DC	221	2228
480	75.97	7.597	20	F	Glen Burnie MD	MD	68	974
6237	105.55	10.555	42	M	Washington DC	DC	809	931
9280	125.85	12.585	29	F	Fairfax VA	VA	2691	2782
2931	84.13	8.413	36	M	Sykesville MD	MD	437	1093
6325	103.67	10.367	29	F	McLean VA	VA	1929	2782
1138	73.1	7.31	37	M	Arlington VA	VA	173	1093
6654	111.77	11.177	47	M	Washington DC	DC	599	648
2345	80.6	8.06	43	M	Falls Church VA	VA	300	931
3212	85.5	8.55	58	M	Rockville MD	MD	125	375
6785	105.47	10.547	29	F	Silver Spring DC	DC	2073	2782
4767	97.7	9.77	36	F	Alexandria VA	VA	637	1367
4439	91.98	9.198	38	M	Rockville MD	MD	685	1093
1030	81.37	8.137	26	F	Washington DC	DC	335	2782
1381	74.95	7.495	34	M	Arlington VA	VA	335	1490
5877	101.72	10.172	31	M	Lovettsville VA	VA	1254	1490
8903	119.72	11.972	29	F	Falls Church VA	VA	2607	2782
3182	92.22	9.222	55	F	Fort Belvoir VA	VA	47	236
3844	94.67	9.467	34	F	Yorktown Hts NY	NY	836	2228
5189	96.47	9.647	25	M	Washington DC	DC	1109	1457
6736	113.6	11.36	26	M	Potomac MD	MD	1383	1457
9594	134.88	13.488	30	F	Fairfax VA	VA	2195	2228
7003	106.53	10.653	27	F	Alexandria VA	VA	2133	2782
8636	117.07	11.707	33	F	Alexandria VA	VA	1954	2228
6291	103.52	10.352	28	F	Washington DC	DC	1918	2782
5790	101.43	10.143	37	F	Bel Air MD	MD	778	1367
4446	92.05	9.205	30	M	Washington DC	DC	963	1490
5456	100.18	10.018	33	F	Winchester VA	VA	1211	2228
9175	123.57	12.357	48	F	Alexandria VA	VA	512	554
4872	94.6	9.46	33	M	Washington DC	DC	1044	1490
6627	111.4	11.14	36	M	Washington DC	DC	1008	1093
6283	103.48	10.348	30	F	Alexandria VA	VA	1407	2228
1280	74.2	7.42	31	M	Alexandria VA	VA	307	1490
6034	103.2	10.32	22	M	Washington DC	DC	312	347
150	69.17	6.917	28	F	Washington DC	DC	60	2782
2600	82.22	8.222	36	M	Arlington VA	VA	374	1093
2465	89.18	8.918	28	F	Durham NC	NC	778	2782
8899	119.67	11.967	38	F	Reisterstown MD	MD	1232	1367
9218	124.35	12.435	32	F	Washington DC	DC	2087	2228
2927	84.08	8.408	42	M	Bethesda MD	MD	381	931
1798	86.28	8.628	26	F	Washington DC	DC	575	2782
6373	107.32	10.732	29	M	Arlington VA	VA	1321	1457
4019	95.27	9.527	32	F	Windsor Mill MD	MD	879	2228
4465	92.13	9.213	60	M	Great Falls VA	VA	79	196
588	77.25	7.725	33	F	Washington DC	DC	137	2228
2848	83.6	8.36	56	M	Bethesda MD	MD	107	375
6120	104.15	10.415	53	M	Elkridge MD	MD	407	483
4832	97.92	9.792	29	F	Chesterfield VA	VA	1502	2782
866	79.98	7.998	53	F	Gaithersburg MD	MD	26	397
1058	72.47	7.247	42	M	Bethesda MD	MD	112	931
5810	101.5	10.15	49	F	Hoboken NJ	NJ	321	554
6933	119.18	11.918	38	M	University Park MD	MD	1051	1093
9064	121.68	12.168	36	F	Watertown MA	MA	1257	1367
4688	93.4	9.34	34	M	Washington DC	DC	1002	1490
6856	105.87	10.587	23	F	Boston MA	MA	767	974
1363	74.87	7.487	29	M	Brookline MA	MA	319	1457
7494	108.97	10.897	26	F	Arlington VA	VA	2266	2782
626	77.77	7.777	26	F	Rockville MD	MD	211	2782
1808	77.6	7.76	32	M	Clifton VA	VA	409	1490
5521	98.72	9.872	52	M	Winchester VA	VA	364	483
6678	105	10.5	50	F	McLean VA	VA	226	397
4585	92.75	9.275	26	M	Arlington VA	VA	993	1457
2530	89.47	8.947	26	F	Washington DC	DC	799	2782
6664	104.93	10.493	41	F	State College PA	PA	648	974
1179	73.38	7.338	34	M	Arlington VA	VA	285	1490
4444	96.7	9.67	38	F	Arlington VA	VA	589	1367
4378	96.42	9.642	23	F	Northport NY	NY	555	974
489	76.08	7.608	52	F	Silver Spring MD	MD	13	397
41	63.25	6.325	28	F	Alexandria VA	VA	21	2782
2114	87.75	8.775	29	F	Washington DC	DC	674	2782
8177	113.52	11.352	26	F	Washington DC	DC	2418	2782
3815	88.55	8.855	49	M	Annapolis MD	MD	334	648
3672	87.77	8.777	58	M	Radnor PA	PA	143	375
6955	119.72	11.972	62	M	Potomac MD	MD	182	196
5520	98.72	9.872	36	M	Washington DC	DC	847	1093
7118	107.18	10.718	41	F	Purcellville VA	VA	695	974
2932	84.15	8.415	38	M	Weatherly PA	PA	438	1093
970	80.9	8.09	24	F	Arlington VA	VA	134	974
7110	130.63	13.063	73	M	Accokeek MD	MD	20	21
2143	87.83	8.783	26	F	New York NY	NY	682	2782
3663	94	9.4	24	F	Arlington VA	VA	481	974
8995	120.77	12.077	71	F	Rockville MD	MD	7	8
3840	88.65	8.865	30	M	Washington DC	DC	847	1490
3983	89.38	8.938	56	M	Manchester NH	NH	166	375
5987	102.27	10.227	28	F	Arlington VA	VA	1825	2782
6562	104.53	10.453	38	F	Halethorpe MD	MD	885	1367
1877	77.95	7.795	27	M	Arlington VA	VA	446	1457
8737	117.85	11.785	44	F	Arlington VA	VA	864	974
2436	81.2	8.12	19	M	Washington DC	DC	31	66
2375	80.8	8.08	26	M	Bethesda MD	MD	568	1457
8104	113	11.3	27	F	Washington DC	DC	2403	2782
1190	82.55	8.255	43	F	Camden NJ	NJ	117	974
2560	81.93	8.193	27	M	Baltimore MD	MD	606	1457
5758	100.67	10.067	37	M	Arlington VA	VA	876	1093
3714	94.2	9.42	26	F	Charlottesville VA	VA	1136	2782
5153	96.3	9.63	29	M	Washington DC	DC	1102	1457
5811	101.05	10.105	47	M	Arlington VA	VA	517	648
2444	81.23	8.123	40	M	McLean VA	VA	313	931
3696	94.13	9.413	35	F	Washington DC	DC	498	1367
3058	84.78	8.478	46	M	New York NY	NY	261	648
8577	116.45	11.645	26	F	Washington DC	DC	2529	2782
7642	109.92	10.992	43	F	Burke VA	VA	748	974
8398	115.08	11.508	52	F	Centreville VA	VA	339	397
4763	97.68	9.768	25	F	New York NY	NY	1486	2782
6118	104.13	10.413	27	M	Washington DC	DC	1279	1457
5709	101.1	10.11	22	F	Silver Spring MD	MD	681	974
185	61.35	6.135	41	M	Dunkirk MD	MD	12	931
8338	114.6	11.46	46	F	Fairfax VA	VA	462	554
9219	124.35	12.435	32	F	Falls Church VA	VA	2088	2228
5902	101.95	10.195	38	M	Centreville VA	VA	900	1093
5153	99.05	9.905	28	F	McDonald PA	PA	1596	2782
5900	101.87	10.187	49	F	Newark DE	DE	328	554
4462	96.78	9.678	30	F	Houma LA	LA	983	2228
664	78.15	7.815	43	F	Brooklyn NY	NY	58	974
974	80.93	8.093	32	F	Washington DC	DC	218	2228
5086	95.82	9.582	38	M	Jacksonville Beac FL	FL	783	1093
4280	96.1	9.61	49	F	Alexandria VA	VA	224	554
6389	103.9	10.39	32	F	Baltimore MD	MD	1428	2228
7175	140.23	14.023	65	M	Germantown MD	MD	78	79
1303	83.37	8.337	30	F	Washington DC	DC	295	2228
3750	94.33	9.433	32	F	New York NY	NY	811	2228
2363	80.73	8.073	33	M	Arlington VA	VA	513	1490
5685	100.08	10.008	38	M	Arlington VA	VA	868	1093
6695	112.53	11.253	52	M	Kensington MD	MD	460	483
1408	75.2	7.52	33	M	Alexandria VA	VA	341	1490
8193	113.68	11.368	31	F	Baltimore MD	MD	1858	2228
6638	104.85	10.485	55	F	Frederick MD	MD	124	236
7315	107.98	10.798	30	F	Charlottesville VA	VA	1637	2228
8242	114.02	11.402	57	F	Alexandria VA	VA	173	236
1196	73.5	7.35	53	M	Alexandria VA	VA	60	483
6247	105.7	10.57	38	M	Springfield VA	VA	951	1093
1678	85.65	8.565	36	F	North Wales PA	PA	213	1367
1733	77.18	7.718	45	M	Arlington VA	VA	151	648
6028	102.42	10.242	41	F	Arlington VA	VA	574	974
5004	98.52	9.852	24	F	Alexandria VA	VA	610	974
860	70.73	7.073	43	M	Boston MA	MA	90	931
758	79.13	7.913	51	F	New York NY	NY	21	397
7983	112.15	11.215	32	F	Washington Dc DC	DC	1799	2228
685	69.02	6.902	46	M	Washington DC	DC	46	648
4846	94.4	9.44	21	M	Ellicott City MD	MD	248	347
1064	81.58	8.158	43	F	Rockville MD	MD	98	974
2858	90.9	9.09	28	F	Washington DC	DC	901	2782
4355	91.52	9.152	46	M	Bowie MD	MD	383	648
6973	120.25	12.025	41	M	Reston VA	VA	908	931
6041	103.25	10.325	35	M	Adelphi MD	MD	927	1093
9323	126.83	12.683	41	F	Bowie MD	MD	928	974
2039	78.87	7.887	40	M	Dunkirk MD	MD	257	931
1154	73.23	7.323	24	M	Washington DC	DC	77	347
8695	117.5	11.75	49	F	Falls Church VA	VA	483	554
98	66.9	6.69	31	F	Logan UT	UT	25	2228
6100	103.9	10.39	33	M	Horsham PA	PA	1290	1490
2805	83.38	8.338	33	M	Alexandria VA	VA	622	1490
893	71.03	7.103	37	M	Brooklyn NY	NY	118	1093
3642	93.93	9.393	24	F	Hershey PA	PA	477	974
2330	88.62	8.862	35	F	Springfield VA	VA	294	1367
9063	121.68	12.168	52	F	Bethesda MD	MD	367	397
2751	90.42	9.042	55	F	Ellicott City MD	MD	41	236
9566	133.45	13.345	41	F	Vienna VA	VA	955	974
2669	82.63	8.263	50	M	Presto PA	PA	166	483
635	77.83	7.783	25	F	Washington DC	DC	213	2782
32	53.65	5.365	26	M	Blacksburg VA	VA	16	1457
75	65.77	6.577	29	F	Philadelphia PA	PA	35	2782
